word	definition	part	chapter	author
išdum (ms)/išdān (md often = ms)/išdātum (fp) (b.f. išid; originally “buttocks”)	base, foundation, bottom; lower extremities; administration, organization (of a government)	noun	2	huehnergard
ištu	from, out of, away from (a place); temporally, since	preposition	2	huehnergard
itti	§with (persons, deities), in the company of, from (a person, with verbs of taking, receiving; see §§5.6) (log. KI)§	preposition	2	huehnergard
libbum (b.f. libbi) 	heart; mind, thought, wish; inside, center, midst (log. ŠÀ [or ŠAG_4])	noun	2	huehnergard
mutum (m.; b.f. mut[i]; log. DAM) 	husband	noun	2	huehnergard
nārum (f.; b.f. nār[i]) 	river, canal	noun	2	huehnergard
ṭuppum (b.f. ṭuppi; pl. ṭuppū or ṭuppātum) 	(clay) tablet, document, letter (Sumerian loanword) (log. DUB)	noun	2	huehnergard
ummum (f.; b.f. ummi) 	mother (log. AMA)	noun	2	huehnergard
uznum (f.; b.f. uzun) 	ear; wisdom, understanding	noun	2	huehnergard
awīlum (b.f. awīl, pl.: nom. awīlû, gen.-acc. awīlê; log LÚ) 	human being, person; grown man; free man; boss	noun	3	huehnergard
damāqum (idmiq) (i-i) 	to become good, better, improve, prosper	verb	3	huehnergard
danānum (idnin) (i-i) 	to become strong	verb	3	huehnergard
eli (prep.)	on, upon, over, above, towards, against, beyond, more than	preposition	3	huehnergard
ḫalāqum (iḫliq) (i-i) 	to disappear, go missing, get lost; to escape; to perish	verb	3	huehnergard
ina qātim ša	from (a person, w/verbs of receiving, taking, seizing, etc.); in the charge of, under the authority of (a person); through the agency of (a person)	idiomatic_expression	3	huehnergard
kašādum (ikšud) (a-u) 	to arrive (at a place: ana or acc.); to reach, achieve; to conquer, defeat	verb	3	huehnergard
libbum imraṣ	to become annoyed (e.g. libbum ša šarrim imraṣ 'the king became annoyed')	idiomatic_expression	3	huehnergard
maḫāṣum (imḫaṣ) (a-a) 	to strike, hit, smite, wound, kill	verb	3	huehnergard
maqātum (imqut) (u-u) 	to fall, fall down, collapse; to arrive (said of news, etc.), happen; to fall upon, attack (with ana, eli)	verb	3	huehnergard
marāṣum (imraṣ) (a-a) 	to become sick, fall ill; to be(come) painful; to become troublesome, difficult (to, for someone: eli, ana)	verb	3	huehnergard
mātum (b.f. māt[i]; pl. mātātum) 	country (political unit), native land; land, open country (log. KALAM)	noun	3	huehnergard
qātam ṣabātum	to help (e.g. qātam ša wardim aṣbat 'I helped the slave')	idiomatic_expression	3	huehnergard
qātam šakānum + ana+ infin.	to begin to do, as in qātam ana šarāqim ša kaspim qātam iškunū 'they began to steal the silver'	idiomatic_expression	3	huehnergard
qātam šakānum + ana+ noun	to begin work on, as in qātam ana bītim aškun 'I began work on the house' 	idiomatic_expression	3	huehnergard
qātātum (p. of qātum)	guarantee, security, pledge	noun	3	huehnergard
qātum	(f.; b.f. qāt[i]) hand; care, charge, responsibility	noun	3	huehnergard
rapāšum (irpiš) (i-i) 	to become wide, broad	verb	3	huehnergard
ṣabātum  (iṣbat [a]) 	to seize, take hold of, arrest, capture	verb	3	huehnergard
šakānum (iškun) (a-u) 	to place, set, put; to establish, install, appoint, assign, impose	verb	3	huehnergard
šarāqum (išriq) (i-i) 	to steal	verb	3	huehnergard
šarrāqum (b.f. šarrāq) 	thief	noun	3	huehnergard
aḫum (b.f. aḫi, pl. aḫḫū; log. ŠEŠ) 	brother	noun	4	huehnergard
alpum (b.f. alap) 	ox, bull (log. GUD or GU_4)	noun	4	huehnergard
balāṭum (noun)	life	noun	4	huehnergard
balāṭum (ibluṭ) (u-u) 	to live, be alive, be healthy; to get well, recover	verb	4	huehnergard
balṭum (baliṭ-, fem. sg. balittum) 	alive, healthy, safe	verbal_adjective	4	huehnergard
damiqtum (fem.; b.f. damiqti) 	good(ness), favor, luck; fame	noun	4	huehnergard
damqum (base/b.f. damiq-, from damāqum) 	good, of good quality; beautiful; favorable; expert	verbal_adjective	4	huehnergard
dannatum (fem.; b.f. dannat) 	famine, hard times; fortress; military service	noun	4	huehnergard
dannum (dann-, from danānum; b.f. dan[ni]) 	strong, solid; mighty, powerful; fortified; fierce, savage; severe, difficult; urgent	verbal_adjective	4	huehnergard
eṭlum (b.f. eṭel; pl. eṭlūtum) 	young man, youth	noun	4	huehnergard
gamārum (igmur) (a-u) 	to bring to an end; to annihilate; to use up; to settle; to encompass, control; to come to an end	verb	4	huehnergard
gamārum + ina + infinitive	to finish doing	idiomatic_expression	4	huehnergard
gamrum (gamir-) 	finished, settled; complete, entire, full (e.g. šamnum ṭābum gamrum 'the entire [amount of] fine oil')	verbal_adjective	4	huehnergard
ḫalqum (base/b.f. ḫaliq, from ḫalāqum) 	escaped; missing, lost	verbal_adjective	4	huehnergard
īnam ša X maḫārum	to please X (e.g. īnam ša šarrim tamḫur 'you [ms] pleased the king')	idiomatic_expression	4	huehnergard
kakkum (b.f. kak[ki]) 	weapon (log. TUKUL, ^gišTUKUL)	noun	4	huehnergard
kanākum (iknuk) (a-u)	to seal; to place under seal	verb	4	huehnergard
kankum (kanik-) 	sealed, under seal	verbal_adjective	4	huehnergard
kašdum (kašid-, from kašādum; fem. sing. kašittum) 	successful, achieved; conquered; having arrived, available	verbal_adjective	4	huehnergard
maḫārum (imḫur) (a-u) 	to accept, receive (from someone: itti or ina qātim ša); to approach, meet, confront	verb	4	huehnergard
maḫrum (maḫir-) 	received	verbal_adjective	4	huehnergard
maqtum (base/b.f. maqit-, from maqātum) 	fallen, collapsed, in ruins	verbal_adjective	4	huehnergard
marṣum (base/b.f. maruṣ-, from marāṣum; fem. sing. maruštum) 	sick, ill; diseased, painful; difficult	verbal_adjective	4	huehnergard
maruštum (fem.; b.f. marušti) 	difficulty, hardship, trouble, duress	noun	4	huehnergard
nakarū (or nakirū or nakrū)	(plural) enemy, foe	noun	4	huehnergard
nakarum (or nakirum or nakrum) (base/b.f. nakar-/nakir-, from nakārum) 	hostile, inimical; foreign (log. KÚR [also ^lúKÚR or LÚ.KÚR])	verbal_adjective	4	huehnergard
napištum (fem.; b.f. napišti; pl. napšātum) 	life, vigor, good health; person; personnel; self; throat; livelihood	noun	4	huehnergard
rapšum (base/b.f. rapaš-, from rapāšum) 	wide, broad	verbal_adjective	4	huehnergard
ṣabtum (base/b.f. ṣabit-, from ṣabātum; fem. sing. should be ṣabittum) 	seized; deposited; captive, prisoner	verbal_adjective	4	huehnergard
šaknum (base/b.f. šakin-, from šakānum; fem. sing. šakittum) 	placed, lying, situated, located, present; established, appointed; endowed, provided; subst.: governor	verbal_adjective	4	huehnergard
šalāmum (išlim) (i-i) 	to become whole, sound, well, uninjured, safe; to recover; to arrive safely; to succeed, prosper; to be completed	verb	4	huehnergard
šalmum (šalim-) 	whole, sound, well, safe, in good condition, intact, favorable	verbal_adjective	4	huehnergard
šamnum (b.f. šaman) 	oil, fat (log. Ì; Ì.GIŠ)	noun	4	huehnergard
šarqum (base/b.f. šariq-, from šarāqum) 	stolen	verbal_adjective	4	huehnergard
šikarum (b.f. šikar) 	beer, intoxicating liquid	noun	4	huehnergard
ṭābum (base ṭāb-; b.f. ṭāb[i]; from ṭiābum; log. DÙG [or DU_10] [=ḫi, ḫe; ṭà]) 	pleasant, pleasing (to: eli), sweet, fine, good	verbal_adjective	4	huehnergard
ul, ula	not	adverb	4	huehnergard
uznum rapaštum	great intelligence, understanding (lit. 'a wide ear')	idiomatic_expression	4	huehnergard
ana kaspim nadānum	to sell	idiomatic_expression	5	huehnergard
ḫarrānam ṣabātum	to take to the road, undertake a campaign	idiomatic_expression	5	huehnergard
ḫarrānum (fem.; b.f. ḫarrān; log. KASKAL) 	road, path, way; journey; military expedition or campaign; caravan	noun	5	huehnergard
kalbum (b.f. kalab) 	dog	noun	5	huehnergard
kīma	like, as, according to, instead of	preposition	5	huehnergard
kišādum (b.f. kišād; pl. kišādātum; log. GÚ) 	neck, throat; bank (of a river, canal, etc.)	noun	5	huehnergard
mādum (b.f. mād[i]; f. māttum [mattum in dictionaries]; masc. pl. mādūtum, fem. pl. mādātum; verbal_adjective of miādum, less. 9) 	much; pl. many	adjective	5	huehnergard
nadānum (iddin) (i-i) 	to give, grant; to hand over, deliver, transfer; to set, assign; to allow	verb	5	huehnergard
naqārum (iqqur) (a-u) 	to tear down, destroy	verb	5	huehnergard
narkabtum (b.f. narkabti) 	(war-) chariot	noun	5	huehnergard
nasāḫum (issuḫ) (a-u) 	trans.: to remove, tear out, expel, reject, deport, transfer; intrans.: to move on, remove onself; to pass (of time) 	verb	5	huehnergard
naṣārum (iṣṣur) (a-u) 	to watch (over), protect, guard; to keep	verb	5	huehnergard
nasḫum (nasiḫ-) 	uprooted, removed (from office)	verbal_adjective	5	huehnergard
naṣrum (naṣir-) 	watched, protected, guarded, under guard	verbal_adjective	5	huehnergard
paqādum (ipqid) (i-i) 	to hand over, entrust, assign (something: acc.; to someone: ana); to supply (someone with something: double accusative), deliver; to take care of, look after; to inspect, muster	verb	5	huehnergard
paqdum (paqid-, fem. paqittum) 	delivered, assigned	verbal_adjective	5	huehnergard
pašāšum (ipšuš) (a-u) 	to anoint, rub, smear (someone: acc.; with something: acc. or ina)	verb	5	huehnergard
paššum (pašiš-) 	anointed	verbal_adjective	5	huehnergard
qātam ša X nasāḫum	to keep X away, to keep the claim of X away (e.g. dayyānū qātam ša eṭlim issuḫū 'the judges kept [the claim of] the youth away')	idiomatic_expression	5	huehnergard
qatānum (iqtin) (i-i) 	to become thin, narrow, fine	verb	5	huehnergard
qatnum (base/b.f. qatan-, fem. qatattum) 	thin, narrow; fine (of wool, textiles)	verbal_adjective	5	huehnergard
rakābum (irkab) (a-a; irreg. imper.: rikab) 	to mount; to ride; to board	verb	5	huehnergard
šēpum (fem.; b.f. šēp[i]) 	foot (log. GÌR); (military) expedition; conveyance, transport	noun	5	huehnergard
dayyānum (b.f. dayyān) 	judge (log. DI.KUD)	noun	6	huehnergard
ekallum (fem.; b.f. ekal; Sumerian loanword) 	(royal) palace (log. É.GAL)	noun	6	huehnergard
kussiam ṣabātum	to take the throne (both regular succession and usurpation)	idiomatic_expression	6	huehnergard
kussûm (fem.; base/b.f. kussi-) 	chair, seat; throne	noun	6	huehnergard
maḫrûm (maḫrī-) 	former, earlier, previous, first m.s. nom. (log. IGI)	adjective	6	huehnergard
nasākum (issuk) (u-u) 	to throw (off, down), hurl, shoot (ana: to, into); to pile up (grain)	verb	6	huehnergard
naṭālum (iṭṭul) (a-u) 	to see, look, look at, observe; to consider; to face	verb	6	huehnergard
parāsum (iprus) (a-u) 	to divide, separate (out), select; to decide (a legal case); to keep away (enemy, demons, etc.)	verb	6	huehnergard
parsum (paris-) 	divided, separated, separate	verbal_adjective	6	huehnergard
rubātum (fem. of rubûm; b.f. rubāt; pl. rubâtum [from rubā + ātum])	 princess	noun	6	huehnergard
šadûm (base šadu-; b.f. šadi, šad) 	mountain, mountain region (common pseudo-log. SA.DÚ [or SA.TU])	noun	6	huehnergard
šaplûm (šaplī-) 	lower	adjective	6	huehnergard
šaṭārum (išṭur) (a-u) 	to inscribe, write, write down, enter, register (s.th. in an account, list, etc.); to assign (s.th. to s.o., s.o. to a task, duty)	verb	6	huehnergard
šaṭrum (šaṭir-) 	inscribed; registered; assigned	verbal_adjective	6	huehnergard
ṭarādum (iṭrud) (a-u) 	to send, dispatch (person); to drive away	verb	6	huehnergard
ṭardum (ṭarid-) 	expelled, banished, exile(d)	verbal_adjective	6	huehnergard
ullûm (ulli-) 	that, those; distant	demonstrative_adjective	6	huehnergard
banûm (ibni [i]) 	to build, rebuild, construct, create	verb	7	huehnergard
banûm, banītum (bani-) 	well-made, well-formed; fine	verbal_adjective	7	huehnergard
bēltum (b.f. bēlet; pl. bēlētum; log. NIN) 	lady; mistress, (female) owner	noun	7	huehnergard
eqlum (b.f. eqel; pl. eqlētum) 	plot of land, field; area, region (log. A.ŠÀ)	noun	7	huehnergard
ḫadûm (iḫdu) 	to rejoice, be happy (at, in s.th.: ina or ana)	verb	7	huehnergard
ḫadûm, ḫadītum (ḫadi-) 	happy, joyful, rejoicing	verbal_adjective	7	huehnergard
leqûm (ilqe [e]) 	to take (in one's hand), accept, receive, obtain (from: itti), take along, take away; to take (a wife), marry (log. ŠU.BA.(AN.)TI = ilqe; ŠU.BA.(AN.)TI.(M)EŠ = ilqû)	verb	7	huehnergard
malûm (imla [a])	 to become full of, fill with (+acc.); [rarely:] to fill (s.th.: acc.; with s.th.: a second acc.)	verb	7	huehnergard
malûm malītum (mali-)	 filled, full	verbal_adjective	7	huehnergard
mû (always pl.; b.f. mû/mê; gen.-acc. mê) 	water, liquid (log. A.MEŠ)	noun	7	huehnergard
narûm (base naru- or narā; b.f. naru, nari, nar; log. NA.RU; Sum. l.w.) 	stele	noun	7	huehnergard
qīštum (b.f. qīšti; pl. qīšātum) 	gift; fee; votive offering	noun	7	huehnergard
rabûm (adj.) (rabi-, f. rabītum) 	big, large; great, important; mature (log. GAL)	verbal_adjective	7	huehnergard
rabûm (v.) (irbi [i])	 to become large, great; to grow (up), increase	verb	7	huehnergard
§ṣeḫrum (base/b.f. ṣeḫer-; from ṣeḫērum [§§21.2]) §	small, young; as noun: child	verbal_adjective	7	huehnergard
šemûm (išme [e]) 	to hear; to listen; to listen to, obey	verb	7	huehnergard
šemûm, šemītum (šemi-) 	heard; having heard, informed, aware; obedient	verbal_adjective	7	huehnergard
ṣibittum (fem.; b.f. ṣibitti) 	prison, imprisonment	noun	7	huehnergard
ṭēmam ṣabātum	to take action (concerning: ana)	idiomatic_expression	7	huehnergard
ṭēmam šakānum	to give a report, information (to s.o.: itti [or maḫar, Vocab. 12]	idiomatic_expression	7	huehnergard
ṭēmum (b.f. ṭēm[i]; pl. ṭēmū and ṭēmētum) 	information, news, report; command; mind, attitude, intention, decision	noun	7	huehnergard
zakûm (izku [u]) 	to become clean, clear; to become free (of claims, obligations)	verb	7	huehnergard
zakûm, zakūtum (zaku-)	 clear; clean(ed), pure; free (of claims)	verbal_adjective	7	huehnergard
aḫāzum (īḫuz) (a-u)	 to seize, hold, take; to take (a wife), marry; to learn	verb	8	huehnergard
akalum, aklum (b.f. akal)	 bread, food	noun	8	huehnergard
alākam epēšum	to travel	idiomatic_expression	8	huehnergard
alākum (illik) (a-i [rare vowel class]) 	to go, walk, move, act	verb	8	huehnergard
amārum (īmur) (a-u)	 to see, look at, observe; to find, discover, experience; to read (a tablet, etc.)	verb	8	huehnergard
amrum (base/b.f. amir-) 	seen, checked	verbal_adjective	8	huehnergard
arākum (īrik) (i) 	to become long, last long; to be delayed	verb	8	huehnergard
arkum (base/b.f. arik-)	 long	verbal_adjective	8	huehnergard
awātam/awâtim amārum	to investigate/look into a matter/case/situation	idiomatic_expression	8	huehnergard
awātum (b.f. awāt; pl. awâtum [from awā+ātum]) 	word, message, command; matter, affair, thing	noun	8	huehnergard
dīnum (b.f. dīn[i]; pl. dīnātum)	 legal decision, verdict; legal case, lawsuit (log. DI)	noun	8	huehnergard
epēšum (īpuš) (e-u; u in late texts) 	to do (s.th.: acc; to s.o.: acc. or ana); to act (according to: kīma), be active; to make, build, construct; to treat (s.o.: acc.; like: kīma; for [e.g. wound]: acc.)	verb	8	huehnergard
epištum (b.f. epišti; pl. epšētum; subst. verbal adj.)	 work; construction; act, activity, achievement	noun	8	huehnergard
epšēt qātim	handiwork	idiomatic_expression	8	huehnergard
epšum (base/b.f. epiš-)	 built, cultivated, worked	verbal_adjective	8	huehnergard
eqel epšētim	a field worked/prepared (for s.th.; lit.: a field of [plowing, etc.] activities)	idiomatic_expression	8	huehnergard
erēbum (īrub [u]) 	to enter, arrive, invade (normally with ana: e.g., ana bītim ērub 'I entered the house')	verb	8	huehnergard
ešērum (īšir) (i) 	to become straight; to move straight toward, charge (with ana); to prosper	verb	8	huehnergard
ezēbum (īzib) (i)	 to leave, leave behind, abandon; to neglect; to leave (s.th.: acc.; with s.o.: ana), entrust; to divorce; to make out (legal document); to pass (s.o.) by	verb	8	huehnergard
ḫarrānam alākum	to travel, undertake a military campaign; to do/perform corvée service	idiomatic_expression	8	huehnergard
išarum  (base/b.f. išar-) 	regular, normal; correct, fair, just; in good condition; prosperous	verbal_adjective	8	huehnergard
kakkī epēšum	to fight, do battle, make war	idiomatic_expression	8	huehnergard
puḫrum (b.f. puḫur; pl. puḫrātum)	 gathering, assembly, (council) meeting; totality	noun	8	huehnergard
qarrādum (b.f. qarrād) 	warrior, hero	noun	8	huehnergard
šumum (b.f. šum[i]; pl. šumū and šumātum) 	name; fame, reputation; line (of a tablet); meaning, interpretation (log. MU)	noun	8	huehnergard
ūmum (b.f. ūm[i]; pl ūmū and ūmātum) 	day, daytime (log. UD [also read U_4])	noun	8	huehnergard
agārum (īgur) (a-u) 	to hire, rent	verb	9	huehnergard
agrum (base/b.f. agir-) 	hired, rented; subst. (pl. agrū) hireling	verbal_adjective	9	huehnergard
enēšum (īniš) (i) 	to be(come) weak, impoverished	verb	9	huehnergard
enšum (base/b.f. eniš-) 	weak, powerless	verbal_adjective	9	huehnergard
kânum (ikūn [a-u])	 to be(come) true, just, honest, correct; to be(come) firm, fixed, secure; to endure, last	verb	9	huehnergard
kīnum (base/b.f. kīn-; fem. kīttum; f.p. kīnātum) 	true, just; honest, loyal; normal, regular, correct; proper, legitimate; firm, fixed	verbal_adjective	9	huehnergard
kīttum (kittum in dictionaries; b.f. kītti; subst. verbal adj.)	 truth, justice; honesty, loyalty; normal situation, correctness	noun	9	huehnergard
kunukkum (b.f. kunuk; pl. kunukkū and kunukkātum)	 seal, cylinder seal; seal impression; sealed tablet, document 	noun	9	huehnergard
miādum (imīd [a-i]) 	to increase, be(come) much, abundant, numerous, plentiful (verb. adj. mādum)	verb	9	huehnergard
nêrum/nârum 	 to slay, kill; to strike, destroy, defeat	verb	9	huehnergard
qiāšum (iqīš [a-i])	 to give, bestow, grant	verb	9	huehnergard
qīšum (base/b.f. qīš-)	 bestowed, granted (subst. fem. qīštum 'gift')	verbal_adjective	9	huehnergard
šâmum (išām [a]) 	to buy, purchase (from s.o. itti or ina qāt)	verb	9	huehnergard
šāmum (base/b.f. šām-) 	purchased, bought	verbal_adjective	9	huehnergard
šatûm (išti [i])	 to drink	verb	9	huehnergard
târum (itūr [a-u])	 to return (intrans.), go/come back, turn back; to turn into, become (+ana)	verb	9	huehnergard
ṭiābum (iṭīb [a-i]) 	to become pleasant, pleasing (to: eli), sweet, good; to become satisfied (verbal adj. ṭābum)	verb	9	huehnergard
ummānum (fem.; b.f. ummān) 	army, gang, crowd (log. ERIN_2 [or ERIM])	noun	9	huehnergard
akālum (īkul) (a-u)	 to eat, consume; to use, have the use of (a field, etc.); to take for oneself	verb	10	huehnergard
babālum (from wabālum; ubil, pl. ublū/ubilū [a-i])	 to bear, carry, transport, convey	verb	10	huehnergard
bablum (base/b.f. babil-)	 carried, transported (rare)	verbal_adjective	10	huehnergard
edēšum (īdiš) (i)	 to be/become new	verb	10	huehnergard
eššum (from *edšum; base/b.f. ediš-; fem. eššetum, rarely edištum) 	new, fresh	verbal_adjective	10	huehnergard
karānum (b.f. karān)	 grapes; grapevine; vineyard; wine	noun	10	huehnergard
labārum (ilbir) (i-i) 	to become old, last, endure	verb	10	huehnergard
labirum (base/b.f. labir-)	 old, ancient, remote (in time); original, traditional	verbal_adjective	10	huehnergard
§lemnum (base/b.f. lemun-; fem. lemuttum; f.p. lemnētum; verbal adj. of rare verb lemēnum [cf. §§21.21])§	 evil, bad, malevolent	verbal_adjective	10	huehnergard
§lemuttum (b.f. lemutti; subst. fem. verbal adj. of rare verb lemēnum [cf. §§21.21]) §	evil, wickedness; evil intentions; misfortune, danger	noun	10	huehnergard
mâtum (imūt [a-u])	 to die	verb	10	huehnergard
mītum (base/b.f. mīt-; fem. mīttum)	 dead	verbal_adjective	10	huehnergard
nišū	people (log. UN [also read UKU_3])	noun	10	huehnergard
šattum (b.f. šatti; pl. šanātum)	 year (log. MU)	noun	10	huehnergard
šiābum (išīb [a-i])	 to become/grow old, gray	verb	10	huehnergard
šībum (base šīb-; b.f. šīb[i]; pl. šībū/šībūtum)	 gray, gray-haired, old; subst.: old man, elder, witness (log. IGI)	verbal_adjective	10	huehnergard
wašābum (ušib [a-i])	 to sit down; to sit, be sitting, seated; to stay, remain (somewhere), reside, dwell	verb	10	huehnergard
wašbum (base/b.f. wašib-)	 seated; resident, in residence	verbal_adjective	10	huehnergard
watartum (b.f. watarti) 	excess, surplus, extra (subst. fem. verbal adj. of watārum)	noun	10	huehnergard
watārum (ītir [i (e)])	 to be/become exceeding, surpassing; to exceed, surpass	verb	10	huehnergard
watrum (base/b.f. watar-)	 additional, in excess, superfluous; foremost, pre-eminent, excellent	verbal_adjective	10	huehnergard
adīni	until now; usually with negative: (not) yet	adverb	11	huehnergard
iṣum (b.f. iṣi, pl. iṣṣū) 	tree; wood, lumber, timber (log. GIŠ)	noun	11	huehnergard
kalûm (b.f. kala [rarely kali or kal]; with suff. kalû/î/â-)	§ entirety, whole, all (see §§11.3)§	pronoun	11	huehnergard
kaṣārum (a-u)	 to tie, bind, join (together), put together, form; to compile, collect; to organize, arrange	verb	11	huehnergard
kaṣrum (base/b.f. kaṣir-)	 joined, organized	verbal_adjective	11	huehnergard
nakāsum (ikkis) (i-i)	 to cut off, cut down	verb	11	huehnergard
naksum (base/b.f. nakis-)	 cut (off, down), felled	verbal_adjective	11	huehnergard
nēmettum (b.f. nēmetti; with suf. nēmetta-)	 complaint; tax, tribute; support, staff, crutch	noun	11	huehnergard
nēmettum rašûm	to have cause for complaint	idiomatic_expression	11	huehnergard
paḫārum (ipḫur) (u-u)	 to gather, assemble (intrans.), come together	verb	11	huehnergard
rašûm (irši [i])	 to receive, obtain, get, acquire, gain	verb	11	huehnergard
sinništum (b.f. sinništi; s.f. sinništa-)	 woman; female (log. MUNUS [also read MÍ])	noun	11	huehnergard
ṣuḫārtum (b.f. ṣuḫārti; suf. ṣuḫārta-)	 (female) child, young woman; female servant, employee (cf. ṣeḫrum)	noun	11	huehnergard
ṣuḫārum (b.f. ṣuḫār, pl.: nom. ṣuḫārû, gen.-acc. ṣuḫārê)	 (male) child, adolescent; male servant, employee	noun	11	huehnergard
ṭeḫûm (iṭḫe [e])	 to go near, draw near, approach (+ana)	verb	11	huehnergard
walādum (ulid [a-i])	 to give birth, bear; to beget (perf. 3cs ittalad)	verb	11	huehnergard
waldum (base/b.f. walid-)	 born	verbal_adjective	11	huehnergard
(ina) maḫar	in front of, in the presence of, with (a person), (from) before, away from (log. IGI)	preposition	12	huehnergard
ana maḫar	(with suff. ana maḫrī- [northern OB) to, toward, into the presence of, before (a person)	preposition	12	huehnergard
ana pān(i)	at the disposal of, for the benefit of, for, on account of; opposite; before the arrival of, (rarely) toward	preposition	12	huehnergard
ana pī	according to, in accordance with	preposition	12	huehnergard
ana pîm	obediently	adverb	12	huehnergard
ana ṣēr	(rarely with assimilation: aṣ-ṣēr [southern OB and Mari]) in the direction of, to, toward, against; in addition to	preposition	12	huehnergard
bēl ḫubullim	(with suff. bēl ḫubullī-; pl. bēlū ḫubullim or bēl ḫubullī) creditor	noun	12	huehnergard
birītum (b.f. birīt)	 interval, intervening space; border (region of the liver in extispicy)	noun	12	huehnergard
ḫepûm (adj.)	smashed, broken, split	verbal_adjective	12	huehnergard
ḫepûm (verb) (ḫepi-) 	 to smash, destroy, wreck; to break, invalidate (a tablet, document); to split, divide	verb	12	huehnergard
ḫubullum (ḫubul; with suff. ḫubulla)	 obligation, debt with interest	noun	12	huehnergard
ina birīt (before suffix ina bīrī-)	 between, among	preposition	12	huehnergard
ina muḫḫi	on, onto, upon, on top of, over; to the debit of	preposition	12	huehnergard
ina pān(i)	in the presence of, in front of, before; in view of, because of; just before (temporal)	preposition	12	huehnergard
ina pîm	orally	adverb	12	huehnergard
kanāšum (u)	 to bow down, submit	verb	12	huehnergard
kanšum (kaniš-)	 submissive, subjected	verbal_adjective	12	huehnergard
maḫar X šakānum	to inform X, e.g. awâtīšu maḫrīni iškun ‘he informed us of his affairs’	idiomatic_expression	12	huehnergard
maḫrum (maḫar)	 front (part, side)	noun	12	huehnergard
mār šiprim (with suff. mār šiprīšu, etc.; pl. mārū šiprim or mār šiprī)	 messenger	noun	12	huehnergard
muḫḫum (muḫḫi)	 skull, top (part, side)	noun	12	huehnergard
pān(i)/pānī X ṣabātum	to lead X (e.g. pān ṣabīya aṣbat ‘I led my army’)	idiomatic_expression	12	huehnergard
pānam rašûm	to become clear, plain	idiomatic_expression	12	huehnergard
pānam/pānī šakānum	to proceed; to intend, decide (to do: ana + infin.: pānīšu ana epēš bītim iškun ‘he intended to build a house’)	idiomatic_expression	12	huehnergard
pānī X babālum	to favor; to forgive X (e.g. šarrum pānīya ul ubil ‘the king did not favor/forgive me’)	idiomatic_expression	12	huehnergard
pānum (pān[i]; pl. pānū) 	front (side, part); pl. pānū (occasionally also sing.) face (log. IGI)	noun	12	huehnergard
pašāḫum (a; less often also i; imper. pišaḫ)	 to refresh onseself; to calm down, become appeased, content	verb	12	huehnergard
piam epēšum	to work/open one’s mouth	idiomatic_expression	12	huehnergard
piam šakānum	to issue commands	idiomatic_expression	12	huehnergard
pûm a (gen. pîm, acc. piam and pâm; b.f. pī; with suff. pī- in all cases; pl. pâtum; log. KA)	 mouth; word(s); utterance, speech, command; opening	noun	12	huehnergard
ša pī	according to, in accordance with	preposition	12	huehnergard
saḫāpum (a-u)	 to cover, spread over, overwhelm	verb	12	huehnergard
ṣērum (ṣēr[i])	 back (part, side); hinterland, back country; steppeland	noun	12	huehnergard
